Datetime,FCS_S01_B1_003,FCS_S01_B1_004,FCS_S01_B2_005,FCS_S01_B2_006,FCS_S01_B3_007,FCS_S01_B3_008,FCS_S01_B6_013,FCS_S01_B6_014,FCS_S01_B7_015,FCS_S01_B7_016,FCS_S01_F_019,FCS_S01_F_020,FCS_S01_L1_001,FCS_S01_L1_002,FCS_S01_L2_017,FCS_S01_L2_018,FCS_S02_B1_003,FCS_S02_B1_004,FCS_S02_B2_005,FCS_S02_B2_006,FCS_S02_B3_007,FCS_S02_B3_008,FCS_S02_F_019,FCS_S02_F_020,FCS_S02_L1_001,FCS_S02_L1_002,FCS_S02_L2_017,FCS_S02_L2_018,FCS_S03_B1_003,FCS_S03_B1_004,FCS_S03_B2_005,FCS_S03_B4_010,FCS_S03_B5_011,FCS_S03_B5_012,FCS_S03_B6_013,FCS_S03_B6_014,FCS_S03_B7_015,FCS_S03_B7_016,FCS_S03_F_019,FCS_S03_F_020,FCS_S03_L1_001,FCS_S03_L1_002,FCS_S04_B1_003,FCS_S04_B1_004,FCS_S04_B2_005,FCS_S04_B2_006,FCS_S04_B5_011,FCS_S04_B5_012,FCS_S04_B6_013,FCS_S04_B6_014,FCS_S04_B7_015,FCS_S04_B7_016,FCS_S04_F_019,FCS_S04_F_020,FCS_S04_L1_001,FCS_S04_L1_002,FCS_S04_L2_017,FCS_S04_L2_018,FCS_S05_B1_003,FCS_S05_B1_004,FCS_S05_B2_005,FCS_S05_B2_006,FCS_S05_B4_009,FCS_S05_B4_010,FCS_S05_B5_011,FCS_S05_B5_012,FCS_S05_B6_013,FCS_S05_B6_014,FCS_S05_L1_001,FCS_S05_L1_002,FCS_S05_L2_017,FCS_S05_L2_018
2016-11-15 21:00:00,,,179.465203,,169.722619,202.942914,140.182352,,62.727409,104.023084,,,,,,172.050377,,,,,,,,182.184973,,202.920676,78.024903,72.751571,,84.713666,0.961908,-700.494954,,,120.311129,,,151.414703,,109.904889,107.806787,,42.128976,55.794416,,117.979841,117.071276,172.256888,,,91.027447,67.670382,51.740617,,46.834868,,71.23949,96.854153,24.038164,,96.102786,,43.963836,59.528698,116.962139,,,170.351962,108.381659,114.628002,49.131058,61.296442
2016-11-16 21:00:00,,220.167303,179.465203,,169.722619,201.415018,140.182352,,62.727409,102.264793,,,142.693055,,,170.146029,,,143.996896,,,,,180.591218,,201.093853,78.896123,,,84.713666,0.961908,-702.190022,,,120.311129,102.429234,,150.597431,,108.340299,106.10231,,42.128976,54.160136,,116.382922,115.372289,171.444871,148.275608,160.952019,91.027447,70.006294,50.915532,,47.678029,,71.23949,,22.305271,,97.003205,,44.780885,61.081593,118.685776,201.538521,,167.863308,106.706822,113.101278,53.075122,62.090413
2016-11-17 21:00:00,,,179.465203,,169.722619,201.415018,140.182352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.780885,61.081593,118.685776,201.538521,,167.863308,106.706822,113.101278,50.014418,61.296442
2016-11-18 21:00:00,,220.167303,180.367594,,170.756423,201.415018,140.937422,,63.744948,102.264793,,,143.678964,,,170.146029,,,,,,152.351087,,180.591218,,,,,,,,,,,,,,,,108.340299,107.806787,,41.266677,53.342997,,115.584463,115.372289,,146.685599,164.365504,92.615908,69.227656,50.915532,,48.52119,,73.672674,98.46532,24.038163,,97.903623,,44.780885,63.410936,117.823957,201.538521,,,107.544241,,53.958482,62.07653
2016-11-19 21:00:00,,,180.367594,,170.756423,202.178966,140.937422,,63.744948,103.143938,,,143.678964,,,171.098203,,,144.994395,,,153.185149,,181.388095,,202.007265,78.024903,73.486376,193.876893,84.713666,3.425699,-699.647421,,,123.694765,,,157.952878,,111.469479,109.511264,,,52.525857,,114.786004,118.770261,175.504959,150.660622,166.925617,94.204368,71.563569,51.740618,,49.364352,,73.789041,99.211443,23.171717,,97.903623,,44.780885,64.187383,120.409413,,,176.158821,107.544241,113.86464,52.664496,65.196883
2016-11-20 21:00:00,,218.466922,177.660421,,167.655012,199.887121,138.672212,,,100.506502,,,,,,,,,,,,,,,,199.26703,77.59646,72.159025,193.876893,86.382177,1.783172,-697.952354,,,125.386583,,,157.952878,,111.469479,109.511264,,42.128976,53.342997,,115.584463,119.619754,172.256888,150.660622,164.365504,94.204368,72.342206,50.915532,,49.364352,,74.638891,101.060457,23.171717,,100.604878,,44.780885,64.187383,121.271232,201.538521,,173.670167,108.381659,113.101278,53.821606,65.196883
2016-11-21 21:00:00,,221.867685,179.465203,,169.722619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114.786004,117.071275,169.008817,149.070613,160.952019,91.821678,73.120844,50.915532,,48.52119,,74.638891,98.346397,21.438825,,98.804042,29.658522,45.597935,61.858041,119.547594,202.42568,,170.351962,105.869404,111.574555,55.451449,64.430677
2016-11-22 21:00:00,,224.418257,181.269985,,171.790227,205.234758,141.692492,,64.762487,,,,,,,,,,,,,156.5214,,,,205.66091,77.882089,69.664215,193.876893,,1.783172,-700.494954,,,121.157038,,,157.952878,,109.904889,103.545595,,42.128976,56.611555,,,117.071275,169.008817,149.070613,160.952019,91.821678,68.449019,48.440275,,45.991706,,70.38964,98.346397,21.438825,,98.804042,28.823969,42.329737,61.858041,,205.974315,,170.351962,101.682311,111.574555,53.075122,60.585767
2016-11-23 21:00:00,,224.418257,185.78194,,171.790227,205.234758,145.467842,,,,,,,,,,,,,,,,,,,,,,,,,-700.494954,,,121.157038,,,157.952878,,,103.545595,,43.853575,60.697254,,122.770597,117.071275,169.008817,149.070613,160.952019,91.821678,68.449019,46.790104,,45.991706,,68.072823,98.346397,21.438825,,98.804042,24.651205,37.42744,61.858041,119.547594,209.52295,,170.351962,101.682311,111.574555,,60.585767
2016-11-24 21:00:00,,224.418257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.782952,,,117.071275,169.008817,149.070613,160.952019,91.821678,68.449019,,,45.991706,,63.322823,98.346397,20.572378,,98.804042,24.651205,37.42744,61.858041,119.547594,209.52295,,170.351962,101.682311,111.574555,46.418874,56.002416
